Track,Artist,Listeners,Playcount
When I'm With You,NCT DREAM,41296,660264
Moonlit Floor (Kiss Me),LISA,164108,2545493
Who,Jimin,290397,118664117
New Woman (feat. ROSALÍA),"LISA, ROSALÍA",13329,573805
Die With A Smile,"Lady Gaga, Bruno Mars",35802,562233
BIRDS OF A FEATHER,Billie Eilish,1628334,36478173
Rockstar,LISA,421760,8767588
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",30648,19035188
Standing Next to You,Jung Kook,516010,143613509
Seven (feat. Latto) (Clean Ver.),"Jung Kook, Latto",22386,41945813
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",30431,696353
Seven (feat. Latto),"Jung Kook, Latto",18808,11938059
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",40565,45554041
That's What I Like,Bruno Mars,1355775,11844788
Cruel Summer,Taylor Swift,1406451,41145741
Snooze,SZA,1197811,19191609
we can't be friends (wait for your love),Ariana Grande,1009281,23056209
Messy,Lola Young,484875,4125932
Night Changes,One Direction,986769,10577478
Nonsense,Sabrina Carpenter,1124230,21426815
Starboy,"The Weeknd, Daft Punk",50218,329712
"Good Luck, Babe!",Chappell Roan,1542940,39716254
WILDFLOWER,Billie Eilish,1083441,20281918
Espresso,Sabrina Carpenter,1634426,39388857
Just the Way You Are,Bruno Mars,1747421,14221685
Touch,KATSEYE,429747,6718805
double take,Dhruv,490550,7439085
Kill Bill,SZA,1797947,36440304
Slow Dance (feat. Sofia Carson),"Jimin, Sofia Carson",11540,1723496
Here With Me,d4vd,903963,11111443
Dandelions,Ruth B.,710446,7903756
Taste,Sabrina Carpenter,1080985,18671222
Die For You,The Weeknd,1555913,25376280
seasons,wave to earth,407729,8836577
Shape of You,Ed Sheeran,1070824,9673743
Bed Chem,Sabrina Carpenter,873918,14758977
Magnetic,ILLIT,626139,15528689
bad,wave to earth,266378,4185497
Perfect Night,LE SSERAFIM,516051,13547894
Perfect,Ed Sheeran,831758,7191956
End of Beginning,Djo,1296286,19774958
Closer,"The Chainsmokers, Halsey",20152,95746
Photograph,Ed Sheeran,1000087,9162186
