id,track_name,artist,album,popularity,release_date,spotify_url,Genre
15cQVPbbwv0sZXrHRIAZeX,When I'm With You,NCT DREAM,DREAMSCAPE,74,2024-11-11,https://open.spotify.com/track/15cQVPbbwv0sZXrHRIAZeX,pop
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),79,2024-10-03,https://open.spotify.com/track/3yDRcs0Y4pPzkvMbUfeF9H,pop
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,MUSE,86,2024-07-19,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,pop
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),"LISA, ROSALÍA",New Woman (feat. ROSALÍA),77,2024-08-15,https://open.spotify.com/track/7ov3TDp5D00Rnu5R1viX4w,pop
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,97,2024-08-16,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,pop
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,94,2024-05-17,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,pop
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,LISA,Rockstar,77,2024-06-27,https://open.spotify.com/track/6vvPecFTmWxDfEJ6cYT1wa,pop
6xGr4tVzpTX99p9Cf0hRRL,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",GOLDEN,78,2023-11-03,https://open.spotify.com/track/6xGr4tVzpTX99p9Cf0hRRL,pop
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,GOLDEN,81,2023-11-03,https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2,pop
7Hcj0duTWiCSYDtJaztNIt,Seven (feat. Latto) (Clean Ver.),"Jung Kook, Latto",GOLDEN,76,2023-11-03,https://open.spotify.com/track/7Hcj0duTWiCSYDtJaztNIt,pop
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),87,2023-06-23,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,pop
5Avril3IZ26DPVFHbJX8o6,Seven (feat. Latto),"Jung Kook, Latto",Seven (feat. Latto),74,2023-07-14,https://open.spotify.com/track/5Avril3IZ26DPVFHbJX8o6,pop
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",GOLDEN,81,2023-11-03,https://open.spotify.com/track/2HRgqmZQC0MC7GeNuDIXHN,pop
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,85,2016-11-17,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,pop
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,84,2019-08-23,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,pop
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,85,2022-12-09,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,pop
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,83,2024-03-08,https://open.spotify.com/track/51ZQ1vr10ffzbwIjDCwqm4,pop
3SKH53SPQbEnZR4cJPVaz2,Messy,Lola Young,Messy,87,2024-05-30,https://open.spotify.com/track/3SKH53SPQbEnZR4cJPVaz2,pop
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,FOUR (Deluxe),84,2014-11-17,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,pop
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,emails i can't send,82,2022-07-15,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g,pop
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",Starboy,85,2016-11-25,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,pop
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",90,2024-04-05,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,pop
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,91,2024-05-17,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,pop
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,84,2024-04-12,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,pop
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,83,2010-05-11,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,pop
6aJn7Cst74cj4lNIiPRgav,Touch,KATSEYE,Touch,78,2024-07-26,https://open.spotify.com/track/6aJn7Cst74cj4lNIiPRgav,pop
0QzuaeCEEOV40Pn7IvKEny,double take,Dhruv,rapunzel,74,2022-01-21,https://open.spotify.com/track/0QzuaeCEEOV40Pn7IvKEny,pop
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,SOS,83,2022-12-08,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,pop
3d2bsbugow8JiNvuaRupFH,Slow Dance (feat. Sofia Carson),"Jimin, Sofia Carson",MUSE,70,2024-07-19,https://open.spotify.com/track/3d2bsbugow8JiNvuaRupFH,pop
5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,Petals to Thorns,81,2023-05-26,https://open.spotify.com/track/5LrN7yUQAzvthd4QujgPFr,pop
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,Safe Haven,82,2017-05-05,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV,pop
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,Short n' Sweet,87,2024-08-23,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,pop
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,Starboy,81,2016-11-24,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,pop
5VBjyOQzqlPNgdRPMM6prF,seasons,wave to earth,summer flows 0.02,77,2020-08-04,https://open.spotify.com/track/5VBjyOQzqlPNgdRPMM6prF,pop
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷ (Deluxe),83,2017-03-03,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,pop
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,Short n' Sweet,84,2024-08-23,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,pop
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,78,2024-03-25,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,pop
6H67gFuycHyTOROX2M4bbs,bad,wave to earth,0.1 flaws and all.,74,2023-04-20,https://open.spotify.com/track/6H67gFuycHyTOROX2M4bbs,pop
74X2u8JMVooG2QbjRxXwR8,Perfect Night,LE SSERAFIM,Perfect Night,74,2023-10-27,https://open.spotify.com/track/74X2u8JMVooG2QbjRxXwR8,pop
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷ (Deluxe),83,2017-03-03,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,pop
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,85,2022-09-16,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,pop
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",Closer,82,2016-07-29,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,pop
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,x (Deluxe Edition),81,2014-06-21,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,pop
4gxEY3Mh5FZZDAJAKPNrCS,CRAZY,LE SSERAFIM,CRAZY (Party Remixes 1),76,2024-09-02,https://open.spotify.com/track/4gxEY3Mh5FZZDAJAKPNrCS,pop
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,Short n' Sweet,83,2024-08-23,https://open.spotify.com/track/2tHwzyyOLoWSFqYNjeVMzj,pop
1XGmzt0PVuFgQYYnV2It7A,Payphone,"Maroon 5, Wiz Khalifa",Overexposed Track By Track,79,2012-01-01,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A,pop
6EIMUjQ7Q8Zr2VtIUik4He,drunk text,Henry Moodie,in all of my lonely nights,75,2024-01-26,https://open.spotify.com/track/6EIMUjQ7Q8Zr2VtIUik4He,pop
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,BABYMONS7ER,74,2024-04-01,https://open.spotify.com/track/1njlnn8ZKHI77Pe9szIONR,pop
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,"French Montana, Swae Lee",Jungle Rules,81,2017-07-14,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,pop
