song_name,video_id,title,artist,release_date,views,likes
Shape of You Ed Sheeran,liTfD88dbCo,Ed Sheeran - Shape of You (Lyrics),7clouds,2024-12-13T19:33:36Z,16171142.0,87989.0
Blinding Lights The Weeknd,XwxLwG2_Sxk,The Weeknd - Blinding Lights (Lyrics),7clouds,2020-03-01T18:09:07Z,142481686.0,1369380.0
Dance Monkey Tones and I,q0hyYWKXF0Q,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),Tones And I,2019-06-24T22:01:36Z,2212980900.0,16058425.0
When I'm With You,qiaLTtDLB10,NCT DREAM 엔시티 드림 &#39;When I&#39;m With You&#39; Performance Video,NCT DREAM,2024-11-18T15:00:59Z,1356990.0,76411.0
Moonlit Floor (Kiss Me),pxGM_TOgHuM,LISA - MOONLIT FLOOR (Official Performance Video),LLOUD Official,2024-10-09T00:00:07Z,66200691.0,1310509.0
Who,Av9DvtlJ9_M,지민 (Jimin) &#39;Who&#39; Official MV,HYBE LABELS,2024-07-19T03:58:08Z,90380936.0,2662194.0
New Woman (feat. ROSALÍA),UxXY_hR_wzo,LISA - NEW WOMAN feat. Rosalía (Official Music Video),LLOUD Official,2024-08-16T00:00:08Z,142792624.0,3299299.0
Die With A Smile,kPa7bsKwL-c,"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",LadyGagaVEVO,2024-08-16T04:00:36Z,749845365.0,8793461.0
BIRDS OF A FEATHER,V9PVRfjEBTI,Billie Eilish - BIRDS OF A FEATHER (Official Music Video),BillieEilishVEVO,2024-09-27T15:00:38Z,264438203.0,2949462.0
Rockstar,hbcGx4MGUMg,LISA - ROCKSTAR (Official Music Video),LLOUD Official,2024-06-28T00:00:07Z,269889420.0,6448444.0
3D (feat. Jack Harlow),hS0AMFijhBo,Jung Kook - 3D (Lyrics) ft. Jack Harlow,Vibe Music,2023-10-01T14:13:46Z,7108103.0,54303.0
Standing Next to You,UNo0TG9LwwI,정국 (Jung Kook) &#39;Standing Next to You&#39; Official MV,HYBE LABELS,2023-11-03T04:00:01Z,176431511.0,4554974.0
Seven (feat. Latto) (Clean Ver.),Vs64cZbeY88,Seven (feat. Latto) - Clean Ver.,Jung Kook - Topic,2023-07-14T04:04:33Z,77169348.0,596347.0
"One Of The Girls (with JENNIE, Lily Rose Depp)",Mx92lTYxrJQ,"The Weeknd, JENNIE, Lily-Rose Depp - One Of The Girls (Official Video)",TheWeekndVEVO,2023-07-06T14:00:13Z,212492796.0,2314050.0
Seven (feat. Latto),QU9c0053UAU,정국 (Jung Kook) &#39;Seven (feat. Latto)&#39; Official MV,HYBE LABELS,2023-07-14T04:00:00Z,492078459.0,10591982.0
Seven (feat. Latto) (Explicit Ver.),QU9c0053UAU,정국 (Jung Kook) &#39;Seven (feat. Latto)&#39; Official MV,HYBE LABELS,2023-07-14T04:00:00Z,492078459.0,10591982.0
That's What I Like,PMivT7MJ41M,Bruno Mars - That’s What I Like [Official Music Video],Bruno Mars,2017-03-02T02:00:11Z,2377969286.0,13949526.0
Cruel Summer,ic8j13piAhQ,Taylor Swift - Cruel Summer (Official Audio),TaylorSwiftVEVO,2019-08-23T04:00:06Z,228960903.0,1497036.0
Snooze,CBx6e9cZlBQ,SZA - Snooze (Lyrics),7clouds,2023-01-22T18:43:24Z,37756487.0,120633.0
we can't be friends (wait for your love),KNtJGQkC-WI,Ariana Grande - we can&#39;t be friends (wait for your love) (official music video),ArianaGrandeVevo,2024-03-08T15:00:08Z,240727210.0,2956519.0
Messy,1hpkQ_ag470,Lola Young - Messy (Lyrics),Vibe Music,2024-11-19T14:57:10Z,8313931.0,68313.0
Night Changes,syFZfO_wfMQ,One Direction - Night Changes,OneDirectionVEVO,2014-11-21T16:00:06Z,954593056.0,8619814.0
Nonsense,YcSP1ZUf1eQ,Sabrina Carpenter - Nonsense (Official Video),SabrinaCarpenterVEVO,2022-11-11T02:30:08Z,120372007.0,962895.0
Starboy,34Na4j8AVgA,The Weeknd - Starboy ft. Daft Punk (Official Video),TheWeekndVEVO,2016-09-28T16:00:01Z,2557393032.0,12593325.0
"Good Luck, Babe!",1RKqOmSkGgM,"Chappell Roan - Good Luck, Babe! (Official Lyric Video)",ChappellRoanVEVO,2024-04-05T04:00:02Z,83591761.0,797176.0
WILDFLOWER,l08Zw-RY__Q,Billie Eilish - WILDFLOWER (Official Lyric Video),BillieEilishVEVO,2024-05-17T04:00:33Z,113126213.0,1115671.0
Espresso,eVli-tstM5E,Sabrina Carpenter - Espresso (Official Video),SabrinaCarpenterVEVO,2024-04-12T14:00:07Z,336634131.0,3079972.0
Just the Way You Are,LjhCEhWiKXk,Bruno Mars - Just The Way You Are (Official Music Video),Bruno Mars,2010-09-08T21:29:01Z,2022831821.0,8808020.0
Touch,l9CZykYZkOQ,KATSEYE (캣츠아이) &quot;Touch&quot; Official MV,HYBE LABELS,2024-07-26T03:58:07Z,90512548.0,980145.0
double take,7X1rWBYflKg,แปลเพลง Double Take - dhruv,Translate Song Studio,2021-07-25T14:34:30Z,1897005.0,33626.0
Kill Bill,9ohjxfg_NRM,[THAISUB] Kill Bill - SZA,MOODLY,2022-12-29T11:00:05Z,2809843.0,26930.0
Slow Dance (feat. Sofia Carson),w3HZ3ior4_s,Slow Dance (feat. Sofia Carson),Jimin - Topic,2024-07-19T04:00:39Z,4984412.0,183219.0
Here With Me,d7CrCIlal-k,[THAISUB] Here With Me // d4vd แปลเพลง,luminbeam,2022-08-04T09:57:10Z,3956669.0,64011.0
Dandelions,5gg17XXXiNo,Ruth B. - Dandelions (Lyrics),7clouds Rock,2023-05-30T14:54:04Z,109909749.0,640220.0
Taste,KEG7b851Ric,Sabrina Carpenter - Taste (Official Video),SabrinaCarpenterVEVO,2024-08-23T14:00:08Z,159437331.0,3000242.0
Die For You,uPD0QOGTmMI,The Weeknd - Die For You,TheWeekndVEVO,2021-11-25T05:00:15Z,128954045.0,1862659.0
seasons,T8gBKxmD6JM,paiiinntt - seasons l 「Official MV」,paiiinntt,2025-02-11T11:00:41Z,29855.0,1881.0
Shape of You,JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),Ed Sheeran,2017-01-30T10:57:50Z,6421100057.0,34047216.0
Bed Chem,x8VkB8ap_FQ,Sabrina Carpenter - Bed Chem (Official Lyric Video),SabrinaCarpenterVEVO,2024-08-23T04:00:47Z,30001379.0,270922.0
Magnetic,Vk5-c_v4gMU,ILLIT (아일릿) ‘Magnetic’ Official MV,HYBE LABELS,2024-03-25T08:58:08Z,202592072.0,2034977.0
bad,o9DhvbqYzns,G-DRAGON - TOO BAD (feat. Anderson .Paak) (Official Video),OfficialGDRAGON,2025-02-25T05:02:00Z,7501959.0,437848.0
Perfect Night,bagucl7jjiM,LE SSERAFIM (르세라핌) &#39;Perfect Night&#39; (Color Coded Lyrics),Jaeguchi,2023-10-27T09:03:42Z,8385639.0,51639.0
Perfect,2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,2017-11-09T11:04:14Z,3895346480.0,22353292.0
End of Beginning,B3Z4XGAxJB0,Djo - End Of Beginning (Lyrics),Dan Music,2024-02-27T13:55:19Z,76128837.0,449569.0
Closer,PT2_F-1esPk,The Chainsmokers - Closer (Lyric) ft. Halsey,ChainsmokersVEVO,2016-07-29T07:00:02Z,3196542922.0,14430694.0
Photograph,KKQl-pIRQMY,Ed Sheeran - Photograph (Official Lyric Video),Ed Sheeran,2024-06-20T23:00:10Z,11902388.0,59207.0
CRAZY,n6B5gQXlB-0,LE SSERAFIM (르세라핌) &#39;CRAZY&#39; OFFICIAL MV,HYBE LABELS,2024-08-30T03:58:08Z,124677141.0,1383988.0
Please Please Please,YiQ7qiL73aI,Sabrina Carpenter - Please Please Please ft. Dolly Parton,SabrinaCarpenterVEVO,2025-02-14T05:00:36Z,9473509.0,453120.0
Payphone,bbdsIR4UHDg,"Maroon 5, Wiz Khalifa – Payphone (Lyrics)",Latin City,2024-08-22T13:53:10Z,3282446.0,16880.0
drunk text,gkciKjOLj-0,Henry Moodie - drunk text (Lyrics),Ethereal Music,2023-06-07T21:45:02Z,37061055.0,123964.0
SHEESH,2wA_b6YHjqQ,BABYMONSTER - ‘SHEESH’ M/V,BABYMONSTER,2024-03-31T15:00:08Z,335781617.0,4126160.0
Unforgettable,CTFtOOh47oo,French Montana - Unforgettable ft. Swae Lee,FrenchMontanaVEVO,2017-04-14T04:01:00Z,1791686864.0,8472984.0
Yellow,yKNxeF4KMsY,Coldplay - Yellow (Official Video),Coldplay,2011-05-30T13:12:47Z,1150409503.0,6116348.0
FAKE LOVE,7C2z4GqqS5E,BTS (방탄소년단) &#39;FAKE LOVE&#39; Official MV,HYBE LABELS,2018-05-18T09:00:02Z,1313262661.0,21824977.0
