track_name,Listeners,Playcount,artist,album,release_date,views,likes,year,month,day
When I'm With You,41296,660264,NCT DREAM,DREAMSCAPE,2024-11-11,1356990.0,76411.0,2024,11,11
Moonlit Floor (Kiss Me),164108,2545493,LISA,Moonlit Floor (Kiss Me),2024-10-03,66200691.0,1310509.0,2024,10,03
Who,290397,118664117,Jimin,MUSE,2024-07-19,90380936.0,2662194.0,2024,07,19
New Woman (feat. ROSALÍA),13329,573805,"LISA, ROSALÍA",New Woman (feat. ROSALÍA),2024-08-15,142792624.0,3299299.0,2024,08,15
Die With A Smile,35802,562233,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,749845365.0,8793461.0,2024,08,16
BIRDS OF A FEATHER,1628334,36478173,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,264438203.0,2949462.0,2024,05,17
Rockstar,421760,8767588,LISA,Rockstar,2024-06-27,269889420.0,6448444.0,2024,06,27
3D (feat. Jack Harlow),30648,19035188,"Jung Kook, Jack Harlow",GOLDEN,2023-11-03,7108103.0,54303.0,2023,11,03
Standing Next to You,516010,143613509,Jung Kook,GOLDEN,2023-11-03,176431511.0,4554974.0,2023,11,03
Seven (feat. Latto) (Clean Ver.),22386,41945813,"Jung Kook, Latto",GOLDEN,2023-11-03,77169348.0,596347.0,2023,11,03
"One Of The Girls (with JENNIE, Lily Rose Depp)",30431,696353,"The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,212492796.0,2314050.0,2023,06,23
Seven (feat. Latto),18808,11938059,"Jung Kook, Latto",Seven (feat. Latto),2023-07-14,492078459.0,10591982.0,2023,07,14
Seven (feat. Latto) (Explicit Ver.),40565,45554041,"Jung Kook, Latto",GOLDEN,2023-11-03,492078459.0,10591982.0,2023,11,03
That's What I Like,1355775,11844788,Bruno Mars,24K Magic,2016-11-17,2377969286.0,13949526.0,2016,11,17
Cruel Summer,1406451,41145741,Taylor Swift,Lover,2019-08-23,228960903.0,1497036.0,2019,08,23
Snooze,1197811,19191609,SZA,SOS,2022-12-09,37756487.0,120633.0,2022,12,09
we can't be friends (wait for your love),1009281,23056209,Ariana Grande,eternal sunshine,2024-03-08,240727210.0,2956519.0,2024,03,08
Messy,484875,4125932,Lola Young,Messy,2024-05-30,8313931.0,68313.0,2024,05,30
Night Changes,986769,10577478,One Direction,FOUR (Deluxe),2014-11-17,954593056.0,8619814.0,2014,11,17
Nonsense,1124230,21426815,Sabrina Carpenter,emails i can't send,2022-07-15,120372007.0,962895.0,2022,07,15
Starboy,50218,329712,"The Weeknd, Daft Punk",Starboy,2016-11-25,2557393032.0,12593325.0,2016,11,25
"Good Luck, Babe!",1542940,39716254,Chappell Roan,"Good Luck, Babe!",2024-04-05,83591761.0,797176.0,2024,04,05
WILDFLOWER,1083441,20281918,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,113126213.0,1115671.0,2024,05,17
Espresso,1634426,39388857,Sabrina Carpenter,Espresso,2024-04-12,336634131.0,3079972.0,2024,04,12
Just the Way You Are,1747421,14221685,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,2022831821.0,8808020.0,2010,05,11
Touch,429747,6718805,KATSEYE,Touch,2024-07-26,90512548.0,980145.0,2024,07,26
double take,490550,7439085,Dhruv,rapunzel,2022-01-21,1897005.0,33626.0,2022,01,21
Kill Bill,1797947,36440304,SZA,SOS,2022-12-08,2809843.0,26930.0,2022,12,08
Slow Dance (feat. Sofia Carson),11540,1723496,"Jimin, Sofia Carson",MUSE,2024-07-19,4984412.0,183219.0,2024,07,19
Here With Me,903963,11111443,d4vd,Petals to Thorns,2023-05-26,3956669.0,64011.0,2023,05,26
Dandelions,710446,7903756,Ruth B.,Safe Haven,2017-05-05,109909749.0,640220.0,2017,05,05
Taste,1080985,18671222,Sabrina Carpenter,Short n' Sweet,2024-08-23,159437331.0,3000242.0,2024,08,23
Die For You,1555913,25376280,The Weeknd,Starboy,2016-11-24,128954045.0,1862659.0,2016,11,24
seasons,407729,8836577,wave to earth,summer flows 0.02,2020-08-04,29855.0,1881.0,2020,08,04
Shape of You,1070824,9673743,Ed Sheeran,÷ (Deluxe),2017-03-03,6421100057.0,34047216.0,2017,03,03
Bed Chem,873918,14758977,Sabrina Carpenter,Short n' Sweet,2024-08-23,30001379.0,270922.0,2024,08,23
