Track,Artist,Listeners,Playcount,Album,Tags,URL
When I'm With You,NCT DREAM,41296,660264,N/A,"['House', 'Awesome', 'upbeat', 'Korean', 'k-pop']",https://www.last.fm/music/NCT+DREAM/_/When+I%27m+With+You
Moonlit Floor (Kiss Me),LISA,164108,2545493,Moonlit Floor (Kiss Me),"['pop', 'dance pop', 'nu-disco', 'Hip-Hop', 'rap']",https://www.last.fm/music/Lisa/_/Moonlit+Floor+(Kiss+Me)
Who,Jimin,290397,118664117,N/A,"['homosexual', 'soty', 'bots', 'who', 'jimin']",https://www.last.fm/music/jimin/_/Who
New Woman (feat. ROSALÍA),"LISA, ROSALÍA",13329,573805,N/A,[],"https://www.last.fm/music/LISA,+ROSAL%C3%8DA/_/New+Woman+(feat.+ROSAL%C3%8DA)"
Die With A Smile,"Lady Gaga, Bruno Mars",35802,562233,N/A,"['collab', 'primadonna', 'lady mars']","https://www.last.fm/music/Lady+Gaga,+Bruno+Mars/_/Die+With+A+Smile"
BIRDS OF A FEATHER,Billie Eilish,1628334,36478173,HIT ME HARD AND SOFT,"['alt-pop', '2024', 'pop', 'indie pop', 'pop rock']",https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
Rockstar,LISA,421760,8767588,Rockstar,"['Hip-Hop', 'rap', 'hip hop', 'k-pop', 'Kpop']",https://www.last.fm/music/Lisa/_/Rockstar
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",30648,19035188,N/A,"['k-pop', 'solo', 'Korean', 'big hit', 'Kpop']","https://www.last.fm/music/Jung+Kook,+Jack+Harlow/_/3D+(feat.+Jack+Harlow)"
Standing Next to You,Jung Kook,516010,143613509,N/A,"['pop', 'bots', 'gay', 'rnb', 'stupid']",https://www.last.fm/music/Jung+Kook/_/Standing+Next+To+You
Seven (feat. Latto) (Clean Ver.),"Jung Kook, Latto",22386,41945813,N/A,"['incorrect tag', 'wrong tag', 'incorrect tag for seven', "" it's messing up my streams""]","https://www.last.fm/music/Jung+Kook,+Latto/_/Seven+(feat.+Latto)+(Clean+Ver.)"
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",30431,696353,N/A,[],"https://www.last.fm/music/The+Weeknd,+JENNIE,+Lily-Rose+Depp/_/One+Of+The+Girls+(with+JENNIE,+Lily+Rose+Depp)"
Seven (feat. Latto),"Jung Kook, Latto",18808,11938059,N/A,[],"https://www.last.fm/music/Jung+Kook,+Latto/_/Seven+(feat.+Latto)"
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",40565,45554041,N/A,"['incorrect tag', 'wrong tag', 'jungkook', 'Jung Kook', 'incorrect tag for seven by jungkook']","https://www.last.fm/music/Jung+Kook,+Latto/_/Seven+(feat.+Latto)+(Explicit+Ver.)"
That's What I Like,Bruno Mars,1355775,11844788,24K Magic,"['funk', 'rnb', '2010s', '2016', 'pop']",https://www.last.fm/music/Bruno+Mars/_/That%27s+What+I+Like
