song_name,video_id,title,artist,release_date,views,likes,comments,error
Shape of You Ed Sheeran,liTfD88dbCo,Ed Sheeran - Shape of You (Lyrics),7clouds,2024-12-13T19:33:36Z,16171142,87989,3379,
Blinding Lights The Weeknd,XwxLwG2_Sxk,The Weeknd - Blinding Lights (Lyrics),7clouds,2020-03-01T18:09:07Z,142481686,1369380,35208,
Dance Monkey Tones and I,q0hyYWKXF0Q,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),Tones And I,2019-06-24T22:01:36Z,2212980900,16058425,392347,
When I'm With You,qiaLTtDLB10,NCT DREAM 엔시티 드림 &#39;When I&#39;m With You&#39; Performance Video,NCT DREAM,2024-11-18T15:00:59Z,1356990,76411,2642,
Moonlit Floor (Kiss Me),pxGM_TOgHuM,LISA - MOONLIT FLOOR (Official Performance Video),LLOUD Official,2024-10-09T00:00:07Z,66200691,1310509,46314,
Who,Av9DvtlJ9_M,지민 (Jimin) &#39;Who&#39; Official MV,HYBE LABELS,2024-07-19T03:58:08Z,90380936,2662194,329618,
New Woman (feat. ROSALÍA),UxXY_hR_wzo,LISA - NEW WOMAN feat. Rosalía (Official Music Video),LLOUD Official,2024-08-16T00:00:08Z,142792624,3299299,191109,
Die With A Smile,kPa7bsKwL-c,"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",LadyGagaVEVO,2024-08-16T04:00:36Z,749845365,8793461,360042,
BIRDS OF A FEATHER,V9PVRfjEBTI,Billie Eilish - BIRDS OF A FEATHER (Official Music Video),BillieEilishVEVO,2024-09-27T15:00:38Z,264438203,2949462,76964,
Rockstar,hbcGx4MGUMg,LISA - ROCKSTAR (Official Music Video),LLOUD Official,2024-06-28T00:00:07Z,269889420,6448444,510058,
3D (feat. Jack Harlow),hS0AMFijhBo,Jung Kook - 3D (Lyrics) ft. Jack Harlow,Vibe Music,2023-10-01T14:13:46Z,7108103,54303,1771,
Standing Next to You,UNo0TG9LwwI,정국 (Jung Kook) &#39;Standing Next to You&#39; Official MV,HYBE LABELS,2023-11-03T04:00:01Z,176431511,4554974,275827,
Seven (feat. Latto) (Clean Ver.),Vs64cZbeY88,Seven (feat. Latto) - Clean Ver.,Jung Kook - Topic,2023-07-14T04:04:33Z,77169348,596347,0,
"One Of The Girls (with JENNIE, Lily Rose Depp)",Mx92lTYxrJQ,"The Weeknd, JENNIE, Lily-Rose Depp - One Of The Girls (Official Video)",TheWeekndVEVO,2023-07-06T14:00:13Z,212492796,2314050,36443,
Seven (feat. Latto),QU9c0053UAU,정국 (Jung Kook) &#39;Seven (feat. Latto)&#39; Official MV,HYBE LABELS,2023-07-14T04:00:00Z,492078459,10591982,1358727,
Seven (feat. Latto) (Explicit Ver.),QU9c0053UAU,정국 (Jung Kook) &#39;Seven (feat. Latto)&#39; Official MV,HYBE LABELS,2023-07-14T04:00:00Z,492078459,10591982,1358727,
That's What I Like,PMivT7MJ41M,Bruno Mars - That’s What I Like [Official Music Video],Bruno Mars,2017-03-02T02:00:11Z,2377969286,13949526,401485,
Cruel Summer,ic8j13piAhQ,Taylor Swift - Cruel Summer (Official Audio),TaylorSwiftVEVO,2019-08-23T04:00:06Z,228960903,1497036,38907,
Snooze,CBx6e9cZlBQ,SZA - Snooze (Lyrics),7clouds,2023-01-22T18:43:24Z,37756487,120633,3637,
we can't be friends (wait for your love),KNtJGQkC-WI,Ariana Grande - we can&#39;t be friends (wait for your love) (official music video),ArianaGrandeVevo,2024-03-08T15:00:08Z,240727210,2956519,104713,
Messy,1hpkQ_ag470,Lola Young - Messy (Lyrics),Vibe Music,2024-11-19T14:57:10Z,8313931,68313,2301,
Night Changes,syFZfO_wfMQ,One Direction - Night Changes,OneDirectionVEVO,2014-11-21T16:00:06Z,954593056,8619814,308356,
Nonsense,YcSP1ZUf1eQ,Sabrina Carpenter - Nonsense (Official Video),SabrinaCarpenterVEVO,2022-11-11T02:30:08Z,120372007,962895,16942,
Starboy,34Na4j8AVgA,The Weeknd - Starboy ft. Daft Punk (Official Video),TheWeekndVEVO,2016-09-28T16:00:01Z,2557393032,12593325,421314,
"Good Luck, Babe!",1RKqOmSkGgM,"Chappell Roan - Good Luck, Babe! (Official Lyric Video)",ChappellRoanVEVO,2024-04-05T04:00:02Z,83591761,797176,21004,
WILDFLOWER,l08Zw-RY__Q,Billie Eilish - WILDFLOWER (Official Lyric Video),BillieEilishVEVO,2024-05-17T04:00:33Z,113126213,1115671,17952,
Espresso,eVli-tstM5E,Sabrina Carpenter - Espresso (Official Video),SabrinaCarpenterVEVO,2024-04-12T14:00:07Z,336634131,3079972,66897,
Just the Way You Are,LjhCEhWiKXk,Bruno Mars - Just The Way You Are (Official Music Video),Bruno Mars,2010-09-08T21:29:01Z,2022831821,8808020,258345,
Touch,l9CZykYZkOQ,KATSEYE (캣츠아이) &quot;Touch&quot; Official MV,HYBE LABELS,2024-07-26T03:58:07Z,90512548,980145,22694,
double take,7X1rWBYflKg,แปลเพลง Double Take - dhruv,Translate Song Studio,2021-07-25T14:34:30Z,1897005,33626,466,
Kill Bill,9ohjxfg_NRM,[THAISUB] Kill Bill - SZA,MOODLY,2022-12-29T11:00:05Z,2809843,26930,136,
Slow Dance (feat. Sofia Carson),w3HZ3ior4_s,Slow Dance (feat. Sofia Carson),Jimin - Topic,2024-07-19T04:00:39Z,4984412,183219,0,
Here With Me,d7CrCIlal-k,[THAISUB] Here With Me // d4vd แปลเพลง,luminbeam,2022-08-04T09:57:10Z,3956669,64011,479,
Dandelions,5gg17XXXiNo,Ruth B. - Dandelions (Lyrics),7clouds Rock,2023-05-30T14:54:04Z,109909749,640220,19653,
Taste,KEG7b851Ric,Sabrina Carpenter - Taste (Official Video),SabrinaCarpenterVEVO,2024-08-23T14:00:08Z,159437331,3000242,87385,
Die For You,uPD0QOGTmMI,The Weeknd - Die For You,TheWeekndVEVO,2021-11-25T05:00:15Z,128954045,1862659,37484,
seasons,T8gBKxmD6JM,paiiinntt - seasons l 「Official MV」,paiiinntt,2025-02-11T11:00:41Z,29855,1881,84,
Shape of You,JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),Ed Sheeran,2017-01-30T10:57:50Z,6421100057,34047216,1193134,
Bed Chem,x8VkB8ap_FQ,Sabrina Carpenter - Bed Chem (Official Lyric Video),SabrinaCarpenterVEVO,2024-08-23T04:00:47Z,30001379,270922,6543,
Magnetic,Vk5-c_v4gMU,ILLIT (아일릿) ‘Magnetic’ Official MV,HYBE LABELS,2024-03-25T08:58:08Z,202592072,2034977,81297,
